big_type_code,big_type_name,middle_type_code,middle_type_name,small_type_code,small_item_name,item_code,item_name
1,鲜果类,105,柑桔类,10550,南非脐橙,104071,南非脐橙A
1,鲜果类,105,柑桔类,10550,南非脐橙,104072,南非脐橙B
1,鲜果类,105,柑桔类,10550,南非脐橙,104073,南非脐橙C
1,鲜果类,105,柑桔类,10514,巴西柑,104081,A级-巴西柑
1,鲜果类,105,柑桔类,10514,巴西柑,104082,B级-巴西柑
1,鲜果类,105,柑桔类,10514,巴西柑,104083,C级-巴西柑
1,鲜果类,105,柑桔类,10549,进口皇帝柑,104090,特级进口皇帝柑
1,鲜果类,105,柑桔类,10549,进口皇帝柑,104091,A级-进口皇帝柑（大）
1,鲜果类,105,柑桔类,10549,进口皇帝柑,104092,A级-进口皇帝柑（中）
1,鲜果类,105,柑桔类,10549,进口皇帝柑,104093,A级-进口皇帝柑（小）
1,鲜果类,105,柑桔类,10567,南非柑,104101,A级-南非柑（大）
1,鲜果类,105,柑桔类,10567,南非柑,104102,A级-南非柑（中）
1,鲜果类,105,柑桔类,10567,南非柑,104103,A级-南非柑（小）
1,鲜果类,105,柑桔类,10512,青桔,104110,特级青桔
1,鲜果类,105,柑桔类,10512,青桔,104111,B级-青桔（大）
1,鲜果类,105,柑桔类,10512,青桔,104112,B级-青桔（中）
1,鲜果类,105,柑桔类,10512,青桔,104113,B级-青桔（小）
1,鲜果类,105,柑桔类,10512,青桔,104115,袋装青桔
1,鲜果类,105,柑桔类,10513,蜜柚,104121,水晶蜜柚A
1,鲜果类,105,柑桔类,10528,南丰蜜桔,104130,招牌-阳光南丰蜜桔（大）
1,鲜果类,105,柑桔类,10528,南丰蜜桔,104131,招牌-阳光南丰蜜桔（中）
1,鲜果类,105,柑桔类,10582,非称重柑桔类,104132,阳光南丰蜜桔B
1,鲜果类,105,柑桔类,10582,非称重柑桔类,104133,阳光南丰蜜桔C
1,鲜果类,105,柑桔类,10562,秭归脐橙,104141,A级-秭归脐橙（大）
1,鲜果类,105,柑桔类,10562,秭归脐橙,104142,A级-秭归脐橙（中）
1,鲜果类,105,柑桔类,10562,秭归脐橙,104143,A级-秭归脐橙（小）
1,鲜果类,105,柑桔类,10582,非称重柑桔类,104150,袋装特级皇帝贡柑
1,鲜果类,105,柑桔类,10513,蜜柚,104151,B级-进口蜜柚（大）
1,鲜果类,105,柑桔类,10513,蜜柚,104152,B级-进口蜜柚（中）
1,鲜果类,105,柑桔类,10513,蜜柚,104153,B级-进口蜜柚（小）
1,鲜果类,105,柑桔类,10513,蜜柚,104156,B级-进口蜜柚中（个）
1,鲜果类,105,柑桔类,10513,蜜柚,104159,B级-进口蜜柚（试吃）
1,鲜果类,105,柑桔类,10502,进口澳洲柑,104161,A级-进口澳洲柑（大）
1,鲜果类,105,柑桔类,10502,进口澳洲柑,104162,A级-进口澳洲柑（中）
1,鲜果类,105,柑桔类,10502,进口澳洲柑,104163,A级-进口澳洲柑（小）
